OBJECTID,ZIP,ZIPCODE,COUNTY,SHAPE_Length,SHAPE_Area
186,98445,98445,053,95666.1477878975,302059705.549828
187,98446,98446,053,92261.285942664,303052714.963898
188,98447,98447,053,9413.06441834154,3176084.65875851
189,98465,98465,053,41951.208955066,66626905.4455277
190,98466,98466,053,62248.0841049258,197545703.666279
191,98467,98467,053,65464.8256796181,154582676.218956
192,98498,98498,053,94191.6312750006,271504227.748209
193,98499,98499,053,82258.8266507607,258668276.606998
194,98580,98580,053,234421.902095823,1813778211.02266
195,98922,98922,037,871202.832937046,17220076344.214
196,98925,98925,037,513881.753114509,5997914900.27371
197,98926,98926,037,947568.864318173,32490465878.1217
198,98934,98934,037,21908.6922831004,12289667.1593227
199,98940,98940,037,465055.059644958,5451150383.26191
200,98941,98941,037,128017.064036227,357024278.45721
201,98943,98943,037,14265.719058192,10064276.1165151
202,98946,98946,037,148179.573254574,836663902.043957
203,98950,98950,037,209701.376292834,915724781.837894
